corso,tipo,comuni,gestione,inizio,sviluppo,termine,fishing_tour
ACQUABONA,FONTANA,CALTIGNAGA,LIBERA,CALTIGNAGA località cascina Acquabona frazione Sologno,percorre poche centinaia di metri,CALTIGNAGA dopo essersi unita con la sopracitata frazione Manette si disperde nelle risaie a SUD,
AGAMO,RIO,BORGOTICINO fr.GAGNAGO DIVIGNANO - MEZZOMERICO - OLEGGIO - MOMO,LIBERA,GAGNANO in comune di Borgoticino,DIVIGNANO MEZZOMERICO C.na Vergiasca OLEGGIO C.na Bolognini in località Fornaci MOMO frazione Castelletto,Torrente TERDOPPIO in comune di MOMO,
AGOGNA,TORRENTE,AMENO - ARMENO (Sovazza e Pisogno) - BARENGO - BOLZANO NOV. - BORGOLAVEZZARO - BORGOMANERO - BRIGA NOV. - CALTIGNAGA - CAVAGLIETTO - CAVAGLIO D'AGOGNA - CUREGGIO - FONTANETO D'AGOGNA - GRANOZZO - GOZZANO - MASSINO VISCONTI - MIASINO - MOMO - NOVARA - SAN,LIBERA,Monte MERGOZZOLO in provincia del V.C.O.,Sovazza-Armeno- Miasino-Ameno- Bolzano N.- Gozzano- BrigaN.- Borgomanero- Fontaneto- Cavaglio- Cavaglietto- Momo(Agnellengo)- Caltignaga(Sologno Morghengo) - Novara (Agognate- Lumellogno)- Granozzo con Monticello- Vespolate,BorgolavezzaroALBON ESE in provincia di Pavia,
AGOGNA VECCHIA,RIO,BRIGA NOV. - INVORIO - BORGOMANERO,LIBERA,cascina MALPENSATA in comune di INVORIO,INVORIO (cascina COSTANZA) BRIGA NOV. (cascina PIZZARINI- FALCINA) BORGOMANERO (San Marco),Torrente AGOGNA nel comune di BORGOMANERO,
AGOGNOLA,ROGGIA,CASALINO - VINZAGLIO,LIBERA,CASALINO località cascina GINESTRA dalla roggia MOLINARA,CASALINO - VINZAGLIO,VINZAGLIO frazione PERNASCA nel cavo CROCETTO,
ALTO NOVARESE -,DIRAMATORE,BELLINZAGO - CALTIGNAGA - BRIONA - CASTELLAZZO - MANDELLO - VICOLUNGO - RECETTO,EST SESIA - GESTIONE APD,imbocco dal canale Regina Elena a Cavagliano (Bellinzago),tutto il corso,versatore nel Canale Cavour di Recetto,
ARBOGNA,TORRENTE,BORGOLAVEZZARO - GARBAGNA - NOVARA - VESPOLATE - NIBBIOLA,LIBERA,NOVARA laghetti MARIINA frazione TORRION QUARTARA,NOVARA - GARBAGNA - NIBBIOLA - VESPOLATE - BORGOLAVEZZARO,BORGOLAVEZZARO confine con la provincia di PAVIA in comune di ALBONESE,
ARGINE,CAVO,BELLINZAGO - CAMERI,F.I.P.S.A.S,BELLINZAGO,dalla fine della Riserva Badia fino alla Fontana Valazza,CAMERI,
AVOGADRO,FONTANA,NOVARA,A.P.D.,testa di fontana,tutto il corso,c.le Cavour,
BACU',FONTANA,NOVARA,A.P.D.,testa di fontana,tutto il corso,abitato di Novara,
BAGNO,SCARICATORE,CERANO,A.P.D.,dallo Sforzesco,tutto il corso,nel Ticino,
BASSOLA,RIO,ARMENO e frazione BASSOLA,LIBERA,Madonna di LUCIAGO,BASSOLA centro,torrente PESCONE in comune di ARMENO,
BASTARDA,ROGGIA (annessa roggia Busca),NON ATTIVA,A.P.D.,dalla Busca,tutto il corso,,FISHING TOUR
BAUDO,FONTANA,S. NAZZARO - CASALBELTRAME,LIBERA,SAN NAZZARO località STREGIO,sottopassa la Stra Provinciale n.16 S.Nazzaro Biandrate entrando nel comune di CASALBELTRAME,CASALBELTRAME località S.ROSA confluisce nella Roggia BOLGORA,
BELLA E FONTANONE,FONTANE,SOZZAGO,ASSOCIAZIONE PESCATORI TRECATESI,nascono a NORD del territorio comunale,scorrono parallele per circa 400 metri,confluiscono nella frazione CAVALLERO (concessione privata FISAS),FISHING TOUR
BELLINA,FONTANA,SOZZAGO,LIBERA,nasce all'uscita dell'abitato in direzione CERANO lato destro,breve tratto,s'immette nella fontana BUIA,
BERTA,CAVO,CASTELLAZZO NOV.SE - CASALEGIO - SAN PIETRO MOSEZZO,LIBERA,esce dal canale D.A.N. in comune di CASTELLAZZO nei pressi della strada provinciale per Briona,dopo breve percorso entra nel comune di CASALEGGIO,confluisce nella roggia PELTRENGA poco dopo essere entrato nel comune di SAN PIETRO frazione NOSEZZO dove prende il nome di cavo GAMBARE',
BERTERA,FONTANA,BIANDRATE - CASALBELTRAME,LIBERA,BIANDRATE località VAGGIONE,dopo aver sottopassato la strada provinciale BIANDRATE-S. NAZZARO entra in comune di CASALBELTRAME,CASALBELTRAME: si immette nel cavo CROSA zona cimitero,
BIRAGA,ROGGIA,CARPIGNANO S. - SILLAVENGO - MANDELLO V. - VICOLUNGO - BIANDRATE - CASLVOLONE - S. PIETRO - NOVARA - CASALINO - GRANOZZO,EST SESIA - GESTIONE APD,Dal Fiume Sesia,dalla sponda sinistra del fiume Sesia sino alla bocca Marza in Comune di Castello d'Agogna (Pv) per la parte ricadente in Provincia di Novara,confine provinciale,FISHING TOUR
BIRAGHETTA,ROGGIA,BORGOLAVEZZARO,LIBERA,BORGOLAVEZZARO adiacente alla cascina CATTEDRALE dal torrente ARBOGNA,dopo aver sottopassato la strada statale 211 e le campagne del comune - prosegue per la provincia di PAVIA,BORGOLAVEZZARO confine con la provincia di PAVIA in comune di CILAVEGNA,
BIRAGHETTA,ROGGIA,VESPOLATE - BORGOLAVEZZARO,EST SESIA - GESTIONE F.I.P.S.A.S.,VESPOLATE,dal sottopasso al Torrente Agogna in Comune di Vespolate alla ferma per la derivazione del cavo di Cascina Gorina in Comune di Ottabiano per la parte ricadente in Provincia di Novara,BORGOLAVEZZARO,
BOGGIANI,CAVO,"GARBAGNA, NIBBIOLA, VESPOLATE, BORGOLAVEZZARO",LIBERA,GARBAGNA località PASCOLI,dopo breve percorso entra in comune di NIBBIOLA - VESPOLATE e dopo aver oltrepassato le località MONTEPIANE e GORETTA entra in BORGOLAVEZZARO tra il paese e il torrente AGOGNA,confine con la provincia di PAVIA in comune di NICORVO,
BOLGORA,ROGGIA,CARPIGNANO - RECETTO - VICOLUNGO - LANDIONA - BIANDRATE - CASALBELTRAME - CASALVOLONE,FIPSAS,CARPIGNANO dal fiume SESIA,CARPIGNANO RECETTO - LANDIONA - VICOLUNGO - BIANDRATE - CASALBELTRAME - in concessione dal comune di CASALVOLONE,provincia di VERCELLI confine nel comune di VILLATA,FISHING TOUR
BOLOGNESA,FONTANA,SOZZAGO,EST-SESIA ACQUE LIBERA,nasce a sud del territorio comunale in località denominata frutteto FONIO,si sviluppa nelle campagne,confine con provincia di PAVIA in comune di CASSOLNUOVO,
BORROMEO,CAVO,VAPRIO - MOMO - BELLINZAGO,EST SESIA RISERVA PRIVATA veronesi Geom Carlo,VAPRIO D'A.,tratto compreso tra l'idrometro di cascina Torre in Vaprio d'A. e l'idrometro di cascina Argine in Bellinzago N.,BELLINZAGO N.,
BORROMEO SUPERIORE,CAVO,FONTANETO A. - VAPRIO A.,F.I.P.S.A.S.,FONTANETO A.,dalla sorgente (Fontaneto) all'idrometro della cascina Torre (Vaprio),VAPRIO A.,FISHING TOUR
BORSOTTI,FONTANA,NOVARA,A.P.D.,TESTA DI FONTANA,tutto il corso,a perdersi,FISHING TOUR
BOSCO LEONE,LANCA,GALLIATE,ASSOC. PESCAT. DILETTANTI GALLIATESI,GALLIATE,alimentata da acqua sorgiva e dalle piene stagionali del Fiume Ticino,"specchio d'acqua ""chiuso"" occasionalmente comunicante col Fiume Ticino durante le piene stagionali",FISHING TOUR
BUGLIA,FONTANA,LANDIONA,LIBERA,nasce in località BUGLIA a nord del paese,percorre circa 600 metri,si immette nella fontana Morma all'interno del centro abitato,
BUIA,FONTANA,TRECATE - SOZZAGO - CERANO,APD,nasce in località Molino S.Maria in comune di TRECATE,prosegue in località CAMPOMAGNO in comune di SOZZAGO per poi continuare nel comune di CERANO,CERANO confluisce nella frazione FERRERA (concessione privata) nelle vicinanze della cascina CAMERONA,FISHING TOUR
BUIA,FONTANA,CERANO - SOZZAGO,,testa di fontana,tutto il corso,in Ferrera,
BUSCA,ROGGIA asta principale,CARPIGNANO - SILLAVENGO - MANDELLO - CASALEGGIO - VICOLUNGO - BIANDRATE - CASALBELTRAME - CASALVOLONE - CASALINO,EST SESIA - GESTIONE APD.P.D.,sponda sinistra fiume Sesia in Comune di Carpignano,parte ricadente in Provincia di Novara fino al confine con la Provincia di Pavia,Bocca del Cavo della Pista di Bordignana in Provincia di Pavia,FISHING TOUR
BUSCA O LADRO,CAVETTO ramo sinistro (Busca di Mora),BRIONA - SILLAVENGO,EST SESIA - GESTIONE APD,Briona,tutto il corso,Sillavango Roggia Busca,FISHING TOUR
BUSCA O LADRO,CAVETTO ramo destro (Busca di Busca),CARPIGNANO S. - SILLAVENGO,EST SESIA - GESTIONE APD,Carpignano S.,dalla roggia Molinara di Carpignano S. alla confluenza con il ramo sinistro,Sillavengo,FISHING TOUR
BUSCA O LADRO,CAVETTO asta principale,SILLAVENGO- CASTELLAZZO - MANDELLO - CASALEGGIO - VICOLUNGO - S. PIETRO M. - CASALBELTRAME - NOVARA - CASALINO - GRANOZZO,EST SESIA - GESTIONE APD,SILLAVENGO da roggia Busca,dalla confluenza dei rami destro e sinistro fino al confine con la Provincia di Pavia nella parte ricadente in Provincia di Novara per tutto il corso,confine provinciale,FISHING TOUR
BUSCAGLINO,FONTANA,TRECATE,LIBERA,nasce nelle vicinanze del torrente TERDOPPIO appena a monte della strada provinciale OLENGO-TRECATE,prosegue in località cascina MAGAZZENO,si disperde nelle campagne,
CACESCA,ROGGIA,NOVARA - GRANOZZO,LIBERA,NOVARA nasce dal torrente AGOGNA frazione LUMELLOGNO costeggiandolo a EST,prosegue nel comune di GRANOZZO in località case sparse,confine con provincia di PAVIA in comune di CONFIENZA,
CALVI,FONTANA,SOZZAGO,ASSOCIAZ. PESCAT- SOZZAGO,SOZZAGO,5000 METRI,CASSOLNUOVO,FISHING TOUR
CALVI,FONTANA,SOZZAGO,LIBERA,nasce in prossimità della località ex OLIVE,BREVE TRATTO,confluisce nel cavetto Ospedale (concessione privata),
CAMERONA (lato destro),PARTITORE,CERANO,LIBERA,nasce dalla roggia MORA CAMERONA in località cascina CAMERONA,oltrepassa la cascina CAMERONA e prosegue per circa 500 metri,confine con provincia di PAVIA in comune di CASSOLNUOVO,
CAMPALONE,RIO,BOCA - CAVALLIRIO,LIBERA,CAVALLIRIO,Frazione RONCHETTO in comune di MAGGIORA BOCA,Torrente STRONA in comune di BOCA,
CAMPALONE,RIO,PRATO SESIA,LIBERA,Colle LA TORRE,PRATO SESIA,Torrente ROCCIA in comune di PRATO SESIA,
CAMPOMAGNO O ROSA,FONTANA,TRECATE - CERANO,ASSOCIAZ. PESCATORI TRECATESI,TRECATE,METRI 4000,CERANO,FISHING TOUR
CANELLI,FONTANA,SAN PIETRO MOSEZZO,LIBERA,nasce nelle vicinanze della cascina GRIGNOLO in frazione CESTO,sottopassa l'A4 TO-MI ed il canale CAVOUR,confluisce nel cavo cattedrale (concessione FIPSAS) nelle vicinanze della cascina OBBIATE,
CANNETO,FONTANA,VESPOLATE - BORGOLAVEZZARO,LIBERA,VESPOLATE cascina CANE',VESPOLATE - BORGOLAVEZZARO,provincia di PAVIA nel comune di ALBONESE,
CANTONALE,FONTANA,BIANDRATE - CASALBELTRAME,LIBERA,BIANDRATE località MADONNA DELLA PRIERA,dopo poche centinaia di metri entra nel comune di CASALBELTRAME dove si restringe con basso fondale,CASALBELTRAME si disperde nelle campagne a OVEST del paese,
CANTONALE,FONTANA,BIANDRATE - CASALBELTRAME,EST SESIA - LIBERA,BIANDRATE,tratto della lunghezza di circa 700 mt. Compreso tra il capofonte e l'immissione nel cavo crosio nei Comuni di Biandrate e Casalbeltrame,CASALBELTRAME,
CANTURINA,CAVO,BRIONA - CASTELLAZZO,EST SESIA - GESTIONE FIPSASFIPSAS,BRIONA nasce nei pressi della ferrovia per VARALLO POMBIA,scorre parallelo alla strada provinciale della Valsesia in direzione sud e dopo essere entrata nel comune di CASTELLAZZO rientra nel comune di BRIONA in località cascina MAURIZIA,BRIONA località cascina MAURIZIA si immette nella roggia PELTRENGA,FISHING TOUR
CARAVAGGIO,FONTANA,MOMO - BELLINZAGO,A.P.D.,,,,FISHING TOUR
CARAVAGLIO,FONTANA,CALTIGNAGA,LIBERA,nasce dalla confluenza delle due sopracitate,BREVE PERCORSO,si immette nel torrente TERDOPPIO,
CARAVAGLIO DI MEZZO,FONTANA,CALTIGNAGA,LIBERA,CALTIGNAGA a EST della cascina ACQUABONA,BREVE PERCORSO,confluisce nella fontana CARAVAGGIO DI MEZZO IN LOCALITA' CAMPOLOGGIA,
CARDANINO,COLATORE,ROMENTINO - TRECATE,A.P.D.,DALLO SFORZESCO,tutto il corso,nelle lanche del Ticino,
CARDANO,COLATORE,ROMENTINO,A.P.D. e APDS Romentino,testa di fontana,tutto il corso,nello Sforzesco,
CARDANO,SCARICATORE,ROMENTINO,EST SESIA - GESTIONE APDA.P.D.,ROMENTINO testa di fontana,tutto il corso,nel Naviglio Sforzesco,
CARRETTONA,FONTANA,TERDOBBIATE - VESPOLATE,LIBERA,nasce a OVEST del territorio comunale di TERDOBBIATE,dopo breve tratto entra in comune di VESPOLATE,s'immette nella fontana S.MARIA in località S. GIOVANNI,
CASCINONE,FONTANA,LANDIONA - VICOLUNGO - RECETTO,LIBERA,nasce nel comune di LANDIONA,attraversa il comune di VICOLUNGO in località Cascinone e quindi entra nel comune di RECETTO,si disperde nelle campagne,
CATTEDRALE,CAVO,S. PIETRO M. - CASALGIATE - NOVARA - GRANOZZO - VESPOLATE - BORGOLAVEZZARO,EST SESIA - GESTIONE FIPSAS.,S. PIETRO MOSEZZO,dal Canale Cavour in Comune di S. Pritro Mosesso fino alla sbocco nel torrente Arbogna,BORGOLAVEZZARO,FISHING TOUR
CAVAGLIO DEI BOSCHI,FONTANA,CALTIGNAGA,LIBERA,CALTIGNAGA nasce nelle vicinanze del torrente terdoppio in località ISOLA,BREVE PERCORSO,confluisce nella fontana CARAVAGGIO DI MEZZO IN LOCALITA' CAMPOLOGGIA,
CAVALLERO,FONTANA,SOZZAGO,ASSOCIAZ. PESCATORI TRECATESI,a fianco Torrente TERDOPPIO,7000 METRI,CASSOLNUOVO,FISHING TOUR
CAVALLETTO,FONTANA,CASALVOLONE,LIBERA,CASALVOLONE in prossimità della cascina CAVALLETTO,BREVE TRATTO si divide in due rami,PRIMO ramo entra nel cavo SAINO SECONDO ramo entra nella frazione PASSONE,
CAVETTO,FONTANA,MANDELLO VITTA - VICOLUNGO,LIBERA,nasce nei pressi della roggia BIRAGA vicino alla strada provinciale verso Sillavengo in comune di MANDELLO,scorre nei pressi del cimitero dove raccoglie lo scarico del depuratore quindi prosegue nel comune di VICOLUNGO,si perde nelle campagne in comune di VICOLUNGOA,
CAVETTO,CAVO,VICOLUNGO - LANDIONA,LIBERA,esce dal DAN in comune di LANDIONA,dopo breve percorso entra nel comune di VICOLUNGO scorre ad EST del paese,confluenza nella roggia BUSCA (concessione A.P.D.) località GARGARENGO,
CAVOUR,SCARICATORE DEL CANALE,GALLIATE,EST SESIA - GESTIONE APD,Imbocco Canale Cavour di Galliate,tutto il corso,Confluenza con fiume Ticino,FISHING TOUR
CAVOUR,CANALE,RECETTO - VICOLUNGO - BIANDRATE - S.PIETRO M. - NOVARA - CAMERI - GALLIATE,EST SESIA - GESTIONE APD,confine provinciale,tutto il corso,partizione tra scaricatore in Ticino e dirametore Vigevano in Comune di Galliate,FISHING TOUR
CERAGLIO,ROGGIA,CASALVOLONE,EST SESIA - GESTIONE APD,CASALVOLONE,dall'origine alla confluenza in Bolgora (Molino della Morte),CASALVOLONE,FISHING TOUR
CERANA,ROGGIA,CERANO,LIBERA,CERANO adiacente cascina MIETTA dalla divisione del torrente TERDOPPIO in: MORA CAMERONA (concessione FISPAS) ROGGIA CERANA,CERANO,dopo aver attraversato l'abitato di CERANO si divide in due rami I°CAVO-PILONA 2°ROGGIA RETTA adiacente alla S.P. 4 CERANO- CASSOLNUOVO,
CERANA o Ariotta o Riotta,FONTANA (detta anche Ariotta o Riotta),NOVARA,MITTINO Gianni,Testa di Fontana,nel tratto compreso tra i capo fondi ubicati nel mappale184 di Novara e il suddetto edificio di carico della fontana di e Pernate .,fontana di Pernate,
CERANA o Ariotta o Riotta,FONTANA (detta anche Ariotta o Riotta),NOVARA,EST SESIA - GESTIONE APD,Testa di Fontana,tra edificio di scarico della Fontana di Pernate (a monte della SS Padana Superiore n. 11) e sbocco nel torrente Terdoppio,nel Terdoppio,FISHING TOUR
CERANA SUPERIORE o NOVA,ROGGIA,NOVARA,EST SESIA - GESTIONE APD,NOVARA dal torrente AGOGNA cascina BADA di S.RITA frazione di AGOGNATE,scorre parallela al cavo RICCA,non fuoriesce dall'altro capo della città confluendo nel cavo RICCA,
CERESA,FONTANA,LANDIONA,VIENNESE PIETRO,LANDIONA,,LANDIONA,
CERVETTO,FONTANA,TRECATE,LIBERA,nasce in prossimità della cascina INGLESA,BREVE TRATTO,confluisce nella frazione CICOGNA o DEL SIGNORE in località CAMPACCIO,
CICOGNA o DEL SIGNORE,FONTANA,NOVARA - TRECATE,LIBERA,nasce tra la tangenziale di NOVARA e la cascina MIRABELLO in comune di NOVARA,oltrepassa la cascina LUSERTA in comune di TRECATE e costeggia la cascina INGLESA,adiacente alla cascina INCASATE si divide in due rami: PRIMO scarica nel Terdoppio e il SECONDO nella roggia MORETTA,
CID,CAVO,FONTANETO - CRESSA - VAPRIO - MOMO - BELLINZAGO - CAMERI,ESTESIA - GESTIONE F.I.P.S.A.S.,FONTANETO,"dalla confluenza tra la fontana Galeazza e la Fontana D'Assi a sud della Cascina Picchetta in Comune di Cameri ivi compresi il fontanone Marco, la Fontana Galisciotta e la Fontana Monferrona",CAMERI,FISHING TOUR
CID (detto Fontana D'Assi o San Giovanni),CAVO,CRESSA - FONTANETO,ESTESIA - GESTIONE F.I.P.S.A.S.,CRESSA,dall'origine a sud della Cascina Magina in Comune di Cressa alla confluenza con la fontana Galeazza,FONTANETO A.,FISHING TOUR
CID (detto fontana Galeazza),CAVO,BORGOMANERO - FONTANETO D'AGOGNA,ESTESIA - GESTIONE F.I.P.S.A.S.,BORGOMANERO,A Nord-Est del Molino Resega in Comune di Borgomanero ivi compresi i numerosi capofonti fino alla confluenza con la fontana Dessi in Comune di Fontaneto D'Agogna,FONTANETO D'AGOGNA,FISHING TOUR
CILIEGIA,FONTANA,LANDIONA - VICOLUNGO,LIBERA,nasce in comune di LANDIONA località OGGIAROLO limitrofo al cimitero,prosegue a sud di LANDIONA entra nel comune di VICOLUNGO,si immette nella roggia VIAZZA,
CONSORTILE,CAVO,VICOLUNGO,LIBERA,esce dal cavo cavetto in località GIAROLA a nord del paese,attraversa il paese,rientra nel cavo cavetto a SUD del paese,
CORBA,FONTANA,TERDOBBIATE - TORNACO - BORGOLAVEZZARO,LIBERA,nasce in località Quartiere S.GIORGIO in comune di TERDOBBIATE,dopo breve tratto entra ne comune di TORNACO e prosegue nelle campagne entrando nel comune di BORGOLAVEZZARO,si divide in due rami: PRIMO scarica nella frazione VALBORDONA (concessione privata) SECONDO si disperde nelle campagne,
CRISTIANA,FONTANA,MOMO - BELLINZAGO - CALTIGNAGA,LIBERA,MOMO poco a SUD della frazione di ALZATE di MOMO,dopo breve percorso entra nel comune di BELLINZAGO a OVEST frazione CAVAGLIANO per poi proseguire nel comune di CALTIGNAGA frazione SOLOGNO,CALTIGNAGA frazione SOLOGNO si disperde a sud nella campagna,
CRISTINA,FONTANA,MOMO - CALTIGNAGA,A.P.D.,testa di fontana,tutto il corso,in terdoppio,
CROCETTO,CAVO,CASALINO,F.I.P.S.A.S.,CASALINO,dalle origini per tutto il percorso nei territori di Orfengo e Casalino,Sfocia nel Cavo Scotti a Palestro,FISHING TOUR
CROSA,CAVO,CASALBELTRAME - CASALVOLONE,LIBERA,nasce in zona cimitero dalla confluenza delle frazioni CANTONALE e BERTERA in comune di CASALBELTRAME,dopo breve tratto entra nel comune di CASALVOLONE,si immette nella roggia BOLGORA in località scaraglio nel comune di CASALVOLONE,
CROSIO,CAVO,CASALBELTRAME,EST SESIA LIBERA,CASALBELTRAME,tratto della lunghezza di circa 2600 mt. Compreso tra il sottopasso della strada vicinale Prato Chioso e l'immissione nella Roggia Bolgora,CASALBELTRAME,
DADDA,FONTANA asta principale,TRECATE,ASSOCIAZ. PESCATORI SOZZAGO,a fianco strada regionale 11 TRECATE- NOVARA,3000 METRI,TRECATE,FISHING TOUR
D'ASSI,CAVO,BRIONA - NOVARA - SAN PIETRO MOSEZZO - GARBAGNA,FIPSAS,nasce dalla roggia MORA in frazione PROH comune di BRIONA,attraversa le frazioni di Cesto e Nibbia - in località laghetti Cobiadino sottopassa il canale Cavour e in frazione Agognate dove viene alimentato da una presa d'acqua del canale Cavour. Scorre in prossimità della cascina Monta quindi prosegue tombato sot,GARBAGNA confluisce nel cavo RILE,FISHING TOUR
DASSI o SAN GIOVANNI,FONTANA,CRESSA,F.I.P.S.A.S.,CRESSA,dall'origine a sud della casc.Magina - Comune di Cressa alla confluenza con la fontana Galeazza,FONTANETO D'AGOGNA,FISHING TOUR
DE CARLIS,CAVO (annesso roggia Busca),CASALBELTRTAME - CASALVOLONE,EST SESIA - GESTIONE APDA.P.D.,dalla Busca,tutto il corso,,FISHING TOUR
